id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout_percentage,health_score,z_score,cluster
id,company_id,year,,,,,other_income,interest,depreciation,profit_before_tax,tax_percentage,,eps,dividend_payout,,-0.5751350624360134,0
61,ABB,Dec 2012,1653.0,1451.0,202.0,12.0,33,0,19,215,33,145.0,68,25,286.3,-0.5605891106819996,0
62,ABB,Mar 2014,2276.0,2009.0,267.0,12.0,49,0,22,295,33,198.0,93,25,389.30000000000007,-0.5552723145236359,0
63,ABB,Mar 2015,2289.0,1977.0,312.0,14.0,48,0,15,344,34,229.0,108,29,416.9,-0.5521624903555363,0
64,ABB,Mar 2016,2614.0,2250.0,365.0,14.0,50,3,14,398,36,255.0,120,29,475.70000000000005,-0.5495542507306787,0
65,ABB,Mar 2017,2903.0,2505.0,398.0,14.0,57,2,16,436,37,277.0,130,31,523.3,-0.5473472787404146,0
66,ABB,Mar 2018,3298.0,2774.0,525.0,16.0,117,4,16,621,35,401.0,189,29,650.9,-0.5349079820680165,0
67,ABB,Mar 2019,3679.0,3074.0,605.0,16.0,113,2,17,699,36,450.0,212,31,732.6,-0.5299924535442462,0
68,ABB,Mar 2020,4093.0,3336.0,757.0,18.0,114,9,60,803,26,593.0,279,90,877.2,-0.5156471356075291,0
69,ABB,Mar 2021,4310.0,3388.0,922.0,21.0,81,18,58,926,25,691.0,325,85,988.2,-0.5058160785599887,0
70,ABB,Mar 2022,4913.0,3832.0,1082.0,22.0,83,19,66,1080,26,799.0,376,73,1139.9,-0.49498185242596454,0
71,ABB,Mar 2023,5349.0,4143.0,1206.0,23.0,154,16,70,1274,25,949.0,447,73,1280.9,-0.47993431612870885,0
72,ABB,Mar 2024,5849.0,4396.0,1453.0,25.0,248,12,71,1618,26,1201.0,565,73,1506.1999999999998,-0.4546544551493192,0
73,ABB,TTM,6066.0,4519.0,1547.0,26.0,265,11,72,1728,,1285.0,605,,1589.9,-0.446227834822856,0
86,ADANIENSOL,Mar 2014,0.0,0.0,0.0,,0,0,0,0,0,0.0,0,,,-0.5751350624360134,0
87,ADANIENSOL,Mar 2015,131.0,29.0,101.0,78.0,3,73,37,-5,34,-7.0,0,0,56.199999999999996,-0.575837280796552,0
88,ADANIENSOL,Mar 2016,2194.0,267.0,1927.0,88.0,70,957,560,480,23,368.0,3,0,962.3000000000001,-0.5382184400534127,0
89,ADANIENSOL,Mar 2017,2876.0,893.0,1983.0,69.0,22,904,569,532,22,416.0,4,0,1062.6999999999998,-0.5334032284382909,0
90,ADANIENSOL,Mar 2018,3944.0,1118.0,2826.0,72.0,111,886,579,1472,22,1143.0,10,0,1713.8000000000002,-0.46047283585092474,0
91,ADANIENSOL,Mar 2019,7305.0,4528.0,2778.0,38.0,336,1391,882,840,33,559.0,5,0,1795.1,-0.5190579105015737,0
92,ADANIENSOL,Mar 2020,11416.0,7158.0,4258.0,37.0,261,2238,1174,1107,36,706.0,7,0,2708.8,-0.5043113249302631,0
93,ADANIENSOL,Mar 2021,9926.0,5976.0,3950.0,40.0,1115,2117,1329,1620,20,1290.0,11,0,2701.6,-0.4457262502796141,0
94,ADANIENSOL,Mar 2022,11258.0,7051.0,4206.0,37.0,1286,2365,1427,1700,27,1236.0,11,0,2889.4,-0.4511433633466262,0
95,ADANIENSOL,Mar 2023,13293.0,8775.0,4518.0,34.0,1583,2781,1608,1712,25,1281.0,11,0,3203.8999999999996,-0.44662910245744947,0
96,ADANIENSOL,Mar 2024,16607.0,10896.0,5711.0,30.0,611,2767,1776,1780,33,1196.0,10,0,3858.3999999999996,-0.455156039692561,0
97,ADANIENSOL,TTM,22099.0,15507.0,6592.0,,-844,3183,1912,653,,589.0,6,,,-0.5160484032421225,0
98,ADANIENT,Mar 2013,46375.0,40354.0,6021.0,13.0,1775,3492,2298,2005,39,1218.0,15,10,6933.6,-0.45294906770229687,0
99,ADANIENT,Mar 2014,54947.0,45564.0,9383.0,17.0,1157,5703,3223,1614,-64,2646.0,20,7,9371.400000000001,-0.30969652215242227,0
100,ADANIENT,Mar 2015,64465.0,52015.0,12450.0,19.0,792,7056,3522,2663,14,2298.0,18,8,11104.5,-0.3446068063620556,0
101,ADANIENT,Mar 2016,34008.0,32325.0,1684.0,5.0,1044,1357,314,1056,7,1000.0,9,4,4307.0,-0.47481815378764186,0
102,ADANIENT,Mar 2017,36533.0,34631.0,1902.0,5.0,749,1257,315,1079,25,925.0,9,4,4594.900000000001,-0.48234192193626974,0
103,ADANIENT,Mar 2018,35924.0,33886.0,2038.0,6.0,363,1250,664,487,23,594.0,7,6,4442.6,-0.5155468186988807,0
104,ADANIENT,Mar 2019,40379.0,38409.0,1969.0,5.0,504,1625,390,459,32,506.0,7,6,4832.0,-0.5243747066599375,0
105,ADANIENT,Mar 2020,43403.0,41108.0,2294.0,5.0,872,1572,472,1122,29,1040.0,10,10,5445.5,-0.47080547744170703,0
106,ADANIENT,Mar 2021,39537.0,37031.0,2506.0,6.0,494,1377,537,1086,31,1046.0,8,12,5125.1,-0.47020357598981677,0
107,ADANIENT,Mar 2022,69420.0,65707.0,3714.0,5.0,1012,2526,1248,952,50,788.0,7,14,8372.4,-0.49608533842109664,0
108,ADANIENT,Mar 2023,127540.0,118722.0,8818.0,7.0,834,3969,2436,3247,32,2422.0,22,6,16369.6,-0.3321675096896575,0
109,ADANIENT,Mar 2024,96421.0,85044.0,11377.0,12.0,1146,4555,3042,4926,33,3335.0,28,5,14391.6,-0.2405781720936943,0
110,ADANIENT,TTM,102311.0,88418.0,13893.0,14.0,1489,4150,3541,7691,,6086.0,49,,16836.2,0.03539364359797584,0
111,ADANIGREEN,Mar 2017,502.0,98.0,403.0,80.0,80,334,333,-184,-75,-47.0,0,0,168.3,-0.5798499571424869,0
112,ADANIGREEN,Mar 2018,1480.0,637.0,843.0,57.0,42,552,543,-210,-35,-138.0,-1,0,357.1,-0.5889787958294886,0
113,ADANIGREEN,Mar 2019,2058.0,532.0,1526.0,74.0,73,1121,1062,-585,-19,-475.0,-3,0,488.40000000000003,-0.6227855940439899,0
114,ADANIGREEN,Mar 2020,2549.0,1098.0,1450.0,57.0,-111,995,394,-50,23,-68.0,0,0,674.1,-0.5819566122241027,0
115,ADANIGREEN,Mar 2021,3124.0,883.0,2241.0,72.0,391,1953,486,193,6,182.0,1,0,1071.8999999999999,-0.5568773850620098,0
116,ADANIGREEN,Mar 2022,5133.0,1621.0,3512.0,68.0,507,2617,849,553,12,489.0,3,0,1776.1,-0.5260800941069598,0
117,ADANIGREEN,Mar 2023,7776.0,2806.0,4970.0,64.0,667,2911,1300,1426,32,973.0,6,0,2670.6,-0.4775267103211479,0
118,ADANIGREEN,Mar 2024,9220.0,1902.0,7318.0,79.0,1262,5006,1903,1671,25,1260.0,7,0,3637.2000000000003,-0.44873575753906525,0
119,ADANIGREEN,TTM,10782.0,2682.0,8100.0,75.0,891,4959,2323,1709,,1928.0,9,0,4294.4,-0.38172406256195307,0
120,ADANIPORTS,Mar 2013,3577.0,1195.0,2382.0,67.0,344,542,422,1762,7,1639.0,8,12,1741.3000000000002,-0.41071564916133246,0
121,ADANIPORTS,Mar 2014,4830.0,1910.0,2919.0,60.0,685,977,649,1978,12,1741.0,8,12,2067.1,-0.40048332447919854,0
