id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout_percentage,health_score
1055,RELIANCE,TTM,939838.0,775710.0,164128.0,17.0,17607,23875,53226,104634,,79941.0,51,,175202.0
1054,RELIANCE,Mar 2024,899041.0,736543.0,162498.0,18.0,16179,23118,50832,104727,25,79020.0,51,10,170265.1
1053,RELIANCE,Mar 2023,876396.0,734078.0,142318.0,16.0,12020,19571,40303,94464,22,74088.0,49,9,159973.40000000002
1052,RELIANCE,Mar 2022,694673.0,586092.0,108581.0,16.0,19600,14584,29782,83815,19,67845.0,45,9,129182.8
734,IOC,Mar 2024,776352.0,700706.0,75646.0,10.0,5389,7881,15866,57288,25,43161.0,30,40,117595.4
834,LICI,TTM,896106.0,870255.0,25851.0,3.0,16250,0,0,42102,,41468.0,,,113953.70000000001
976,ONGC,Mar 2024,591396.0,488561.0,102835.0,17.0,12982,10194,28763,76860,26,57101.0,39,31,112833.90000000001
580,HDFCBANK,TTM,329022.0,180600.0,206009.0,-57587.0,-18,146017,0,88430,,72168.0,91,,112054.70000000001
833,LICI,Mar 2024,845966.0,813188.0,32779.0,4.0,14829,128,466,47014,13,40916.0,66,15,110797.5
977,ONGC,TTM,658694.0,572824.0,85870.0,13.0,14458,12592,31646,56090,26,42320.0,33,,108561.0
